date,value
2022-07-01,296.276
2022-07-08,296.276
2022-07-15,296.276
2022-07-22,296.276
2022-07-29,296.276
2022-08-05,296.171
2022-08-12,296.171
2022-08-19,296.171
2022-08-26,296.171
2022-09-02,296.808
2022-09-09,296.808
2022-09-16,296.808
2022-09-23,296.808
2022-09-30,296.808
2022-10-07,298.012
2022-10-14,298.012
2022-10-21,298.012
2022-10-28,298.012
2022-11-04,297.711
2022-11-11,297.711
2022-11-18,297.711
2022-11-25,297.711
2022-12-02,296.797
2022-12-09,296.797
2022-12-16,296.797
2022-12-23,296.797
2022-12-30,296.797
2023-01-06,299.170
2023-01-13,299.170
2023-01-20,299.170
2023-01-27,299.170
2023-02-03,300.840
2023-02-10,300.840
2023-02-17,300.840
2023-02-24,300.840
2023-03-03,301.836
2023-03-10,301.836
2023-03-17,301.836
2023-03-24,301.836
2023-03-31,301.836
2023-04-07,303.363
2023-04-14,303.363
2023-04-21,303.363
2023-04-28,303.363
2023-05-05,304.127
2023-05-12,304.127
2023-05-19,304.127
2023-05-26,304.127
2023-06-02,305.109
2023-06-09,305.109
2023-06-16,305.109
2023-06-23,305.109
2023-06-30,305.109
2023-07-07,305.691
2023-07-14,305.691
2023-07-21,305.691
2023-07-28,305.691
2023-08-04,307.026
2023-08-11,307.026
2023-08-18,307.026
2023-08-25,307.026
2023-09-01,307.789
2023-09-08,307.789
2023-09-15,307.789
2023-09-22,307.789
2023-09-29,307.789
2023-10-06,307.671
2023-10-13,307.671
2023-10-20,307.671
2023-10-27,307.671
2023-11-03,307.051
2023-11-10,307.051
2023-11-17,307.051
2023-11-24,307.051
2023-12-01,306.746
2023-12-08,306.746
2023-12-15,306.746
2023-12-22,306.746
2023-12-29,306.746
2024-01-05,308.417
2024-01-12,308.417
2024-01-19,308.417
2024-01-26,308.417
2024-02-02,310.326
2024-02-09,310.326
2024-02-16,310.326
2024-02-23,310.326
2024-03-01,312.332
2024-03-08,312.332
2024-03-15,312.332
2024-03-22,312.332
2024-03-29,312.332
2024-04-05,313.548
2024-04-12,313.548
2024-04-19,313.548
2024-04-26,313.548
2024-05-03,314.069
2024-05-10,314.069
2024-05-17,314.069
2024-05-24,314.069
2024-05-31,314.069
2024-06-07,314.175
2024-06-14,314.175
2024-06-21,314.175
2024-06-28,314.175
2024-07-05,314.540
